fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_10_keggif_18_Post	E	206	663	2034	2512	3152	6	13	14	16
subj_10_keggif_33_Post	E	215	594	1949	2484	3160	6	13	14	16
subj_10_keggif_7_Post	E	221	608	2030	2370	2679	6	13	14	15
subj_10_keggif_AF2_12	E	220	607	1129	2116	3779	6	9	13	17
subj_10_keggif_AF2_42	E	217	441	1112	2189	3913	4	9	14	17
subj_10_keggif_AF2_48	E	223	353	1007	2355	3879	4	9	14	17
subj_10_keggif_MN1_11	E	251	669	1017	2485	2794	6	9	14	15
subj_10_keggif_MN1_33	E	257	649	1235	2742	3856	6	10	15	17
subj_10_keggif_MN1_6	E	246	726	1216	2161	3015	7	10	13	16
subj_10_keggif_Pre_0	E	214	539	2075	2600	3581	5	13	15	17
subj_10_keggif_Pre_35	E	207	531	2090	2845	4187	5	13	15	18
subj_10_keggif_Pre_45	E	201	492	2044	2691	3664	5	13	15	17
subj_10_peffif_16_Post	E	222	672	1907	2550	2896	6	13	15	15
subj_10_peffif_44_Post	E	212	629	1826	2622	3745	6	12	15	17
subj_10_peffif_53_Post	E	202	636	1903	2578	3396	6	13	15	16
subj_10_peffif_AF2_0	E	228	482	1526	2389	3051	5	11	14	16
subj_10_peffif_AF2_14	E	225	408	1363	2265	4111	4	10	14	18
subj_10_peffif_AF2_5	E	225	426	1372	2251	4023	4	10	14	18
subj_10_peffif_MN1_17	E	249	588	1271	2494	4050	6	10	14	18
subj_10_peffif_MN1_20	E	251	629	1191	2308	3915	6	10	14	17
subj_10_peffif_Pre_22	E	213	587	1905	2847	4030	6	13	15	18
subj_10_peffif_Pre_33	E	210	593	1943	2723	4154	6	13	15	18
subj_10_peffif_Pre_42	E	210	556	1876	2800	4176	5	12	15	18
subj_10_tessif_12_Post	E	207	596	1894	2486	2904	6	13	14	15
subj_10_tessif_3_Post	E	213	638	1906	2806	3042	6	13	15	16
subj_10_tessif_40_Post	E	216	611	1884	2830	3319	6	12	15	16
subj_10_tessif_AF2_13	E	224	529	1178	1855	3088	5	9	12	16
subj_10_tessif_AF2_29	E	238	429	1278	2518	4023	4	10	14	18
subj_10_tessif_AF2_38	E	231	440	1129	2506	3923	4	9	14	17
subj_10_tessif_MN1_34	E	259	302	979	2386	4188	3	8	14	18
subj_10_tessif_MN1_38	E	247	654	1155	2231	4225	6	9	14	18
subj_10_tessif_MN1_46	E	273	652	1087	2449	4281	6	9	14	18
subj_10_tessif_Pre_1	E	210	528	1977	2844	4199	5	13	15	18
subj_10_tessif_Pre_34	E	198	576	1987	2838	4252	6	13	15	18
subj_10_tessif_Pre_8	E	216	525	1944	2948	4293	5	13	16	18
subj_11_keggif_15_Post	E	220	546	2378	2877	4772	5	14	15	19
subj_11_keggif_24_Post	E	217	520	2174	2602	3198	5	13	15	16
subj_11_keggif_39_Post	E	214	578	2352	2740	4658	6	14	15	19
subj_11_keggif_AF2_22	E	261	690	2313	2847	4148	6	14	15	18
subj_11_keggif_AF2_27	E	218	612	2062	2718	4051	6	13	15	18
subj_11_keggif_AF2_37	E	223	660	2081	2815	4525	6	13	15	18
subj_11_keggif_MN1_11	E	242	719	2108	2653	3542	7	13	15	17
subj_11_keggif_MN1_14	E	239	637	2266	2851	4164	6	14	15	18
subj_11_keggif_MN1_37	E	246	692	2236	2724	4268	6	14	15	18
subj_11_keggif_Pre_23	E	221	562	2236	2891	4497	5	14	15	18
subj_11_keggif_Pre_44	E	219	583	2342	2903	4523	6	14	15	18
subj_11_keggif_Pre_7	E	213	551	2361	2945	4317	5	14	16	18
subj_11_peffif_16_Post	E	215	601	2147	3008	4522	6	13	16	18
subj_11_peffif_25_Post	E	219	590	2107	2938	4397	6	13	15	18
subj_11_peffif_38_Post	E	217	581	2090	2915	4468	6	13	15	18
subj_11_peffif_AF2_19	E	242	668	2144	2976	4607	6	13	16	19
subj_11_peffif_AF2_31	E	230	541	2175	2973	4602	5	13	16	19
subj_11_peffif_AF2_52	E	222	645	2263	2870	4238	6	14	15	18
subj_11_peffif_MN1_20	E	253	729	2075	2877	4112	7	13	15	18
subj_11_peffif_MN1_3	E	234	694	2106	2866	3325	7	13	15	16
subj_11_peffif_MN1_4	E	227	664	2173	2835	2918	6	13	15	15
subj_11_peffif_Pre_26	E	211	589	1971	2930	4438	6	13	15	18
subj_11_peffif_Pre_42	E	209	597	2185	2946	4376	6	13	16	18
subj_11_peffif_Pre_50	E	212	616	2226	3304	4283	5	14	16	18
