fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_10_kiggif_13_Post	I	216	429	2312	2685	3748	4	14	15	17
subj_10_kiggif_17_Post	I	212	424	2305	2715	3309	4	14	15	16
subj_10_kiggif_26_Post	I	223	442	2205	2673	3668	4	14	15	17
subj_10_kiggif_AF2_28	I	245	504	1326	2480	4137	5	10	14	18
subj_10_kiggif_AF2_52	I	236	460	953	2625	3118	5	8	15	16
subj_10_kiggif_MN1_1	I	278	646	1539	2218	2548	6	11	14	15
subj_10_kiggif_MN1_16	I	270	533	1069	2463	3055	5	9	14	16
subj_10_kiggif_MN1_3	I	271	678	1290	2431	2926	6	10	14	15
subj_10_kiggif_Pre_20	I	213	409	2309	3048	4025	4	14	16	18
subj_10_kiggif_Pre_27	I	207	407	2172	2682	3783	4	13	15	17
subj_10_kiggif_Pre_4	I	223	388	2247	2863	4252	4	14	15	18
subj_10_piffif_31_Post	I	222	433	2176	2943	3944	4	13	16	18
subj_10_piffif_50_Post	I	212	420	2107	2768	3442	4	13	15	17
subj_10_piffif_5_Post	I	223	450	2081	2874	3303	5	13	15	16
subj_10_piffif_AF2_10	I	234	379	1099	2678	4066	4	9	15	18
subj_10_piffif_AF2_49	I	250	522	1240	2465	2819	5	10	14	15
subj_10_piffif_AF2_6	I	225	392	1330	2461	4146	4	10	14	18
subj_10_piffif_MN1_40	I	278	296	1142	2618	3294	3	9	15	16
subj_10_piffif_MN1_47	I	272	290	1334	2320	3651	3	10	14	17
subj_10_piffif_Pre_30	I	211	412	2057	2759	4110	4	13	15	18
subj_10_piffif_Pre_37	I	217	416	2340	3041	4225	4	14	16	18
subj_10_piffif_Pre_43	I	212	253	2248	3121	4186	3	13	16	18
subj_10_tissif_51_Post	I	208	421	2064	2757	3972	4	13	15	18
subj_10_tissif_6_Post	I	221	446	2135	2826	3656	4	13	15	17
subj_10_tissif_8_Post	I	217	439	2017	2792	3921	4	13	15	17
subj_10_tissif_AF2_21	I	231	354	969	2322	3811	4	8	14	17
subj_10_tissif_AF2_23	I	236	425	849	2158	3805	4	8	13	17
subj_10_tissif_AF2_51	I	234	487	1177	2479	3044	5	9	14	16
subj_10_tissif_MN1_23	I	280	484	1104	2249	3549	5	9	14	17
subj_10_tissif_MN1_29	I	258	557	1081	2540	3068	5	9	15	16
subj_10_tissif_MN1_43	I	279	1092	2242	3052	4290	9	14	16	18
