fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_12_keggif_16_Post	E	101	470	1620	2269	3471	5	12	14	17
subj_12_keggif_19_Post	E	107	447	1682	2341	3354	4	12	14	16
subj_12_keggif_26_Post	E	98	496	1675	2264	3699	5	12	14	17
subj_12_keggif_AF2_2	E	133	421	1075	2319	2985	4	9	14	16
subj_12_keggif_AF2_23	E	114	482	1161	2317	3130	5	9	14	16
subj_12_keggif_AF2_29	E	126	433	882	2484	2995	4	8	14	16
subj_12_keggif_MN1_34	E	113	492	945	2529	2810	5	8	14	15
subj_12_keggif_MN1_4	E	131	572	1193	2367	3103	6	10	14	16
subj_12_keggif_MN1_7	E	131	541	1142	2527	3124	5	9	14	16
subj_12_keggif_Pre_23	E	100	536	1690	2106	3448	5	12	13	17
subj_12_keggif_Pre_26	E	96	458	1701	2292	3515	5	12	14	17
subj_12_keggif_Pre_9	E	103	514	1686	2150	3362	5	12	13	16
subj_12_peffif_18_Post	E	99	571	1576	2237	3255	6	11	14	16
subj_12_peffif_21_Post	E	102	555	1565	2478	3607	5	11	14	17
subj_12_peffif_45_Post	E	103	545	1559	2435	3297	5	11	14	16
subj_12_peffif_AF2_32	E	115	432	1142	2854	2883	4	9	15	15
subj_12_peffif_AF2_40	E	110	416	1139	2304	3519	4	9	14	17
subj_12_peffif_AF2_9	E	122	556	1206	2373	3951	5	10	14	18
subj_12_peffif_MN1_15	E	120	480	1184	2696	3109	5	10	15	16
subj_12_peffif_MN1_22	E	121	322	1077	2518	3310	3	9	14	16
subj_12_peffif_MN1_31	E	132	471	1169	2838	3129	5	9	15	16
subj_12_peffif_Pre_32	E	102	596	1621	2664	3359	6	12	15	16
subj_12_peffif_Pre_33	E	101	561	1639	2491	3608	5	12	14	17
subj_12_peffif_Pre_49	E	98	564	1573	2564	3244	5	11	15	16
subj_12_tessif_14_Post	E	90	435	1660	2646	3849	4	12	15	17
subj_12_tessif_30_Post	E	100	527	1636	2607	4271	5	12	15	18
subj_12_tessif_37_Post	E	102	485	1636	2680	4000	5	12	15	18
subj_12_tessif_AF2_1	E	139	470	1254	2708	2957	5	10	15	16
subj_12_tessif_AF2_12	E	129	575	1296	2756	3766	6	10	15	17
