fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_12_kiggif_10_Post	I	102	353	1955	2124	3545	4	13	13	17
subj_12_kiggif_38_Post	I	110	370	1857	2150	3365	4	12	13	16
subj_12_kiggif_50_Post	I	101	364	1849	2158	3235	4	12	13	16
subj_12_kiggif_AF2_30	I	133	380	873	2233	2971	4	8	14	16
subj_12_kiggif_AF2_35	I	118	449	950	2592	2912	5	8	15	15
subj_12_kiggif_AF2_49	I	130	341	1039	2512	3220	4	9	14	16
subj_12_kiggif_MN1_23	I	132	273	958	2535	3693	3	8	14	17
subj_12_kiggif_MN1_32	I	141	432	963	2398	2773	4	8	14	15
subj_12_kiggif_MN1_45	I	119	425	748	2618	3928	4	7	15	17
subj_12_kiggif_Pre_10	I	115	298	2100	2942	3448	3	13	16	17
subj_12_kiggif_Pre_15	I	105	282	2074	2405	3208	3	13	14	16
subj_12_kiggif_Pre_34	I	105	385	1991	2047	3408	4	13	13	17
subj_12_piffif_22_Post	I	--undefined--	405	1628	2510	3603	4	12	14	17
subj_12_piffif_25_Post	I	105	422	1579	2405	3359	4	11	14	16
subj_12_piffif_6_Post	I	112	420	1641	2481	3376	4	12	14	16
subj_12_piffif_AF2_19	I	137	370	1239	2316	3110	4	10	14	16
subj_12_piffif_AF2_26	I	120	373	1277	2652	3380	4	10	15	16
subj_12_piffif_AF2_43	I	119	391	1264	2525	3293	4	10	14	16
subj_12_piffif_MN1_19	I	119	434	1357	2705	3326	4	10	15	16
subj_12_piffif_MN1_27	I	128	452	1223	2527	3335	5	10	14	16
subj_12_piffif_MN1_46	I	123	359	1095	2498	3692	4	9	14	17
subj_12_piffif_Pre_28	I	103	415	1671	2448	3306	4	12	14	16
subj_12_piffif_Pre_48	I	103	422	1677	2416	3227	4	12	14	16
subj_12_piffif_Pre_52	I	--undefined--	375	1641	2481	3259	4	12	14	16
subj_12_tissif_3_Post	I	105	371	1684	2552	3664	4	12	15	17
subj_12_tissif_53_Post	I	97	340	1691	2639	3801	4	12	15	17
subj_12_tissif_7_Post	I	103	406	1672	2588	3612	4	12	15	17
subj_12_tissif_AF2_13	I	121	406	1419	2509	3257	4	11	14	16
