fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_10_keggif_18_Post	E	206	663	2034	6	13
subj_10_keggif_33_Post	E	215	594	1949	6	13
subj_10_keggif_7_Post	E	221	608	2030	6	13
subj_10_keggif_AF2_12	E	220	607	1129	6	9
subj_10_keggif_AF2_42	E	217	441	1112	4	9
subj_10_keggif_AF2_48	E	223	353	1007	4	9
subj_10_keggif_MN1_11	E	251	669	1017	6	9
subj_10_keggif_MN1_33	E	257	649	1235	6	10
subj_10_keggif_MN1_6	E	246	726	1216	7	10
subj_10_keggif_Pre_0	E	214	539	2075	5	13
subj_10_keggif_Pre_35	E	207	531	2090	5	13
subj_10_keggif_Pre_45	E	201	492	2044	5	13
subj_10_tessif_12_Post	E	207	596	1894	6	13
subj_10_tessif_3_Post	E	213	638	1906	6	13
subj_10_tessif_40_Post	E	216	611	1884	6	12
subj_10_tessif_AF2_13	E	224	529	1178	5	9
subj_10_tessif_AF2_29	E	238	429	1278	4	10
subj_10_tessif_AF2_38	E	231	440	1129	4	9
subj_10_tessif_MN1_34	E	259	302	979	3	8
subj_10_tessif_MN1_38	E	247	654	1155	6	9
subj_10_tessif_MN1_46	E	273	652	1087	6	9
subj_10_tessif_Pre_1	E	210	528	1977	5	13
subj_10_tessif_Pre_34	E	198	576	1987	6	13
subj_10_tessif_Pre_8	E	216	525	1944	5	13
subj_11_keggif_15_Post	E	220	546	2378	5	14
subj_11_keggif_24_Post	E	217	520	2174	5	13
subj_11_keggif_39_Post	E	214	578	2352	6	14
subj_11_keggif_AF2_22	E	261	690	2313	6	14
subj_11_keggif_AF2_27	E	218	612	2062	6	13
subj_11_keggif_AF2_37	E	223	660	2081	6	13
subj_11_keggif_MN1_11	E	242	719	2108	7	13
subj_11_keggif_MN1_14	E	239	637	2266	6	14
subj_11_keggif_MN1_37	E	246	692	2236	6	14
subj_11_keggif_Pre_23	E	221	562	2236	5	14
subj_11_keggif_Pre_44	E	219	583	2342	6	14
subj_11_keggif_Pre_7	E	213	551	2361	5	14
subj_11_tessif_11_Post	E	216	474	2041	5	13
subj_11_tessif_30_Post	E	229	592	2125	6	13
subj_11_tessif_52_Post	E	214	452	1998	5	13
subj_11_tessif_AF2_34	E	214	538	2150	5	13
subj_11_tessif_AF2_42	E	223	557	2120	5	13
subj_11_tessif_AF2_46	E	227	598	2327	6	14
subj_11_tessif_MN1_6	E	229	643	2078	6	13
subj_11_tessif_MN1_8	E	232	677	2070	6	13
subj_11_tessif_MN1_9	E	231	649	2077	6	13
subj_11_tessif_Pre_1	E	187	536	2043	5	13
subj_11_tessif_Pre_45	E	208	590	2017	6	13
subj_11_tessif_Pre_47	E	214	554	2118	5	13
subj_14_keggif_18_Post	E	228	438	2287	4	14
subj_14_keggif_30_Post	E	224	390	1849	4	12
subj_14_keggif_42_Post	E	251	500	2108	5	13
subj_14_keggif_AF2_10	E	242	522	1118	5	9
subj_14_keggif_AF2_13	E	256	511	1551	5	11
subj_14_keggif_AF2_22	E	251	458	1468	5	11
subj_14_keggif_MN1_2	E	229	457	1344	5	10
subj_14_keggif_MN1_34	E	287	393	1002	4	9
subj_14_keggif_MN1_43	E	247	365	1353	4	10
subj_14_keggif_Pre_31	E	245	440	2018	4	13
subj_14_keggif_Pre_47	E	234	476	2364	5	14
subj_14_keggif_Pre_7	E	231	478	2160	5	13
subj_14_tessif_14_Post	E	239	513	1904	5	13
subj_14_tessif_35_Post	E	248	494	1942	5	13
subj_14_tessif_51_Post	E	233	604	1979	6	13
subj_14_tessif_AF2_34	E	257	583	1756	6	12
subj_14_tessif_AF2_51	E	258	437	1465	4	11
subj_14_tessif_AF2_6	E	239	589	1587	6	11
subj_14_tessif_MN1_39	E	262	433	1320	4	10
subj_14_tessif_MN1_5	E	254	495	1604	5	11
subj_14_tessif_MN1_8	E	237	592	1562	6	11
subj_14_tessif_Pre_15	E	224	492	2022	5	13
subj_14_tessif_Pre_36	E	121	592	2081	6	13
subj_14_tessif_Pre_40	E	241	542	2064	5	13
subj_15_keggif_17_Post	E	187	722	2119	7	13
subj_15_keggif_18_Post	E	205	729	2161	7	13
subj_15_keggif_23_Post	E	168	673	2207	6	14
subj_15_keggif_AF2_30	E	163	830	1498	7	11
subj_15_keggif_AF2_52	E	215	782	1330	7	10
subj_15_keggif_AF2_7	E	216	910	1350	8	10
subj_15_keggif_MN1_25	E	251	944	1391	8	11
subj_15_keggif_MN1_30	E	287	926	1495	8	11
subj_15_keggif_MN1_35	E	224	895	1565	8	11
subj_15_keggif_Pre_28	E	273	807	2013	7	13
subj_15_keggif_Pre_3	E	256	765	1945	7	13
subj_15_keggif_Pre_51	E	237	770	2015	7	13
subj_15_tessif_0_Post	E	194	663	2161	6	13
subj_15_tessif_25_Post	E	163	651	2095	6	13
subj_15_tessif_34_Post	E	162	701	2049	7	13
subj_15_tessif_AF2_27	E	237	941	1461	8	11
subj_15_tessif_AF2_42	E	187	910	1565	8	11
subj_15_tessif_AF2_51	E	202	900	1574	8	11
subj_15_tessif_MN1_21	E	297	917	1426	8	11
subj_15_tessif_MN1_32	E	207	705	1268	7	10
subj_15_tessif_MN1_50	E	224	900	1458	8	11
subj_15_tessif_Pre_38	E	227	803	1915	7	13
subj_15_tessif_Pre_41	E	249	714	2067	7	13
subj_15_tessif_Pre_47	E	249	735	2005	7	13
subj_17_keggif_10_Post	E	214	530	1946	5	13
subj_17_keggif_14_Post	E	213	482	1971	5	13
subj_17_keggif_35_Post	E	217	493	2008	5	13
subj_17_keggif_AF2_2	E	257	607	1613	6	11
subj_17_keggif_AF2_3	E	255	690	1611	6	11
subj_17_keggif_AF2_43	E	243	516	1450	5	11
subj_17_keggif_MN1_24	E	297	612	1496	6	11
subj_17_keggif_MN1_26	E	303	636	1503	6	11
subj_17_keggif_MN1_3	E	316	652	1577	6	11
subj_17_keggif_Pre_24	E	232	528	2103	5	13
subj_17_keggif_Pre_38	E	237	611	2138	6	13
