fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_10_kiggif_13_Post	I	216	429	2312	4	14
subj_10_kiggif_17_Post	I	212	424	2305	4	14
subj_10_kiggif_26_Post	I	223	442	2205	4	14
subj_10_kiggif_AF2_28	I	245	504	1326	5	10
subj_10_kiggif_AF2_52	I	236	460	953	5	8
subj_10_kiggif_MN1_1	I	278	646	1539	6	11
subj_10_kiggif_MN1_16	I	270	533	1069	5	9
subj_10_kiggif_MN1_3	I	271	678	1290	6	10
subj_10_kiggif_Pre_20	I	213	409	2309	4	14
subj_10_kiggif_Pre_27	I	207	407	2172	4	13
subj_10_kiggif_Pre_4	I	223	388	2247	4	14
subj_10_piffif_31_Post	I	222	433	2176	4	13
subj_10_piffif_50_Post	I	212	420	2107	4	13
subj_10_piffif_5_Post	I	223	450	2081	5	13
subj_10_piffif_AF2_10	I	234	379	1099	4	9
subj_10_piffif_AF2_49	I	250	522	1240	5	10
subj_10_piffif_AF2_6	I	225	392	1330	4	10
subj_10_piffif_MN1_40	I	278	296	1142	3	9
subj_10_piffif_MN1_47	I	272	290	1334	3	10
subj_10_piffif_Pre_30	I	211	412	2057	4	13
subj_10_piffif_Pre_37	I	217	416	2340	4	14
subj_10_piffif_Pre_43	I	212	253	2248	3	13
subj_10_tissif_51_Post	I	208	421	2064	4	13
subj_10_tissif_6_Post	I	221	446	2135	4	13
subj_10_tissif_8_Post	I	217	439	2017	4	13
subj_10_tissif_AF2_21	I	231	354	969	4	8
subj_10_tissif_AF2_23	I	236	425	849	4	8
subj_10_tissif_AF2_51	I	234	487	1177	5	9
subj_10_tissif_MN1_23	I	280	484	1104	5	9
subj_10_tissif_MN1_29	I	258	557	1081	5	9
subj_10_tissif_MN1_43	I	279	1092	2242	9	14
subj_10_tissif_Pre_3	I	221	393	2153	4	13
subj_10_tissif_Pre_47	I	212	345	2745	4	15
subj_10_tissif_Pre_7	I	221	415	2058	4	13
subj_11_kiggif_12_Post	I	230	430	2496	4	14
subj_11_kiggif_41_Post	I	227	427	2476	4	14
subj_11_kiggif_6_Post	I	224	412	2436	4	14
subj_11_kiggif_AF2_17	I	256	414	2540	4	15
subj_11_kiggif_AF2_28	I	228	427	2508	4	14
subj_11_kiggif_AF2_3	I	257	390	2554	4	15
subj_11_kiggif_MN1_13	I	251	485	2497	5	14
subj_11_kiggif_MN1_48	I	251	466	2514	5	14
subj_11_kiggif_MN1_51	I	247	477	2308	5	14
subj_11_kiggif_Pre_12	I	216	416	2569	4	15
subj_11_kiggif_Pre_33	I	220	419	2593	4	15
subj_11_kiggif_Pre_35	I	201	392	2613	4	15
subj_11_piffif_10_Post	I	227	408	2274	4	14
subj_11_piffif_17_Post	I	230	427	2366	4	14
subj_11_piffif_49_Post	I	--undefined--	365	2429	4	14
subj_11_piffif_AF2_18	I	258	387	2347	4	14
subj_11_piffif_AF2_30	I	239	429	2407	4	14
subj_11_piffif_AF2_39	I	234	424	2355	4	14
subj_11_piffif_MN1_19	I	250	501	2177	5	13
subj_11_piffif_MN1_23	I	255	485	2265	5	14
subj_11_piffif_MN1_29	I	237	471	2138	5	13
subj_11_piffif_Pre_10	I	99	347	2585	4	15
subj_11_piffif_Pre_49	I	172	378	2352	4	14
subj_11_piffif_Pre_6	I	206	408	2275	4	14
subj_11_tissif_31_Post	I	222	426	2379	4	14
subj_11_tissif_35_Post	I	230	438	2416	4	14
subj_11_tissif_50_Post	I	215	422	2384	4	14
subj_11_tissif_AF2_33	I	231	432	2515	4	14
subj_11_tissif_AF2_41	I	242	425	2431	4	14
subj_11_tissif_AF2_50	I	223	431	2429	4	14
subj_11_tissif_MN1_31	I	249	465	2278	5	14
subj_11_tissif_MN1_32	I	248	480	2361	5	14
subj_11_tissif_MN1_53	I	243	480	2135	5	13
subj_11_tissif_Pre_14	I	217	419	2386	4	14
subj_11_tissif_Pre_27	I	220	426	2426	4	14
subj_11_tissif_Pre_52	I	195	385	2490	4	14
subj_14_kiggif_31_Post	I	250	443	2452	4	14
subj_14_kiggif_36_Post	I	264	448	2353	5	14
subj_14_kiggif_48_Post	I	250	483	2204	5	14
subj_14_kiggif_AF2_39	I	254	365	1609	4	11
subj_14_kiggif_AF2_7	I	263	356	1442	4	11
subj_14_kiggif_AF2_9	I	251	426	1518	4	11
subj_14_kiggif_MN1_25	I	251	415	1500	4	11
subj_14_kiggif_MN1_33	I	251	431	1181	4	9
subj_14_kiggif_MN1_36	I	283	416	957	4	8
subj_14_kiggif_Pre_14	I	245	464	2497	5	14
subj_14_kiggif_Pre_33	I	278	321	2578	3	15
subj_14_kiggif_Pre_48	I	257	425	2679	4	15
subj_14_piffif_19_Post	I	252	497	2180	5	13
subj_14_piffif_25_Post	I	247	484	2166	5	13
subj_14_piffif_45_Post	I	256	490	2173	5	13
subj_14_piffif_AF2_20	I	265	303	1697	3	12
subj_14_piffif_AF2_23	I	276	293	1863	3	12
subj_14_piffif_AF2_52	I	257	365	1664	4	12
subj_14_piffif_MN1_27	I	250	433	1724	4	12
subj_14_piffif_MN1_35	I	267	334	1425	3	11
subj_14_piffif_MN1_41	I	246	444	1787	4	12
subj_14_piffif_Pre_10	I	248	476	2273	5	14
subj_14_piffif_Pre_24	I	252	491	2400	5	14
subj_14_piffif_Pre_30	I	250	478	2312	5	14
subj_14_tissif_2_Post	I	238	461	2244	5	14
subj_14_tissif_34_Post	I	261	500	2108	5	13
subj_14_tissif_38_Post	I	253	499	2178	5	13
subj_14_tissif_AF2_2	I	235	360	1432	4	11
subj_14_tissif_AF2_38	I	260	308	1332	3	10
subj_14_tissif_AF2_44	I	135	448	1636	5	12
subj_14_tissif_MN1_22	I	263	297	1533	3	11
subj_14_tissif_MN1_24	I	249	439	1663	4	12
subj_14_tissif_MN1_53	I	256	398	1507	4	11
subj_14_tissif_Pre_0	I	232	450	2324	5	14
subj_14_tissif_Pre_23	I	250	477	2279	5	14
subj_14_tissif_Pre_34	I	260	353	2179	4	13
subj_15_kiggif_16_Post	I	192	414	2308	4	14
subj_15_kiggif_38_Post	I	170	398	2347	4	14
subj_15_kiggif_49_Post	I	189	429	2376	4	14
subj_15_kiggif_AF2_1	I	312	660	1572	6	11
subj_15_kiggif_AF2_12	I	232	581	1362	6	10
subj_15_kiggif_AF2_28	I	259	768	1520	7	11
subj_15_kiggif_MN1_17	I	265	812	1369	7	10
subj_15_kiggif_MN1_45	I	205	654	1306	6	10
subj_15_kiggif_MN1_53	I	224	608	1598	6	11
subj_15_kiggif_Pre_10	I	264	442	2385	4	14
subj_15_kiggif_Pre_13	I	302	543	2398	5	14
subj_15_kiggif_Pre_22	I	295	600	2349	6	14
subj_15_piffif_15_Post	I	200	475	2032	5	13
subj_15_piffif_20_Post	I	194	512	2113	5	13
subj_15_piffif_46_Post	I	193	517	2002	5	13
subj_15_piffif_AF2_20	I	263	552	1453	5	11
subj_15_piffif_AF2_39	I	207	513	1344	5	10
subj_15_piffif_AF2_48	I	215	652	1483	6	11
subj_15_piffif_MN1_0	I	240	672	1740	6	12
subj_15_piffif_MN1_24	I	265	830	2015	7	13
subj_15_piffif_MN1_46	I	211	423	1596	4	11
subj_15_piffif_Pre_0	I	292	584	2143	6	13
subj_15_piffif_Pre_31	I	261	495	1964	5	13
subj_15_piffif_Pre_42	I	255	522	1902	5	13
subj_15_tissif_1_Post	I	183	433	2233	4	14
subj_15_tissif_50_Post	I	198	423	2077	4	13
subj_15_tissif_7_Post	I	171	381	2145	4	13
subj_15_tissif_AF2_10	I	220	695	1532	7	11
subj_15_tissif_AF2_14	I	227	685	1493	6	11
subj_15_tissif_AF2_22	I	252	664	1501	6	11
subj_15_tissif_MN1_10	I	260	775	1564	7	11
subj_15_tissif_MN1_12	I	263	663	1569	6	11
subj_15_tissif_MN1_20	I	274	687	1410	6	11
subj_15_tissif_Pre_15	I	276	548	2018	5	13
subj_15_tissif_Pre_39	I	274	603	2180	6	13
subj_15_tissif_Pre_46	I	264	531	2081	5	13
subj_17_kiggif_1_Post	I	249	417	2222	4	14
subj_17_kiggif_26_Post	I	224	435	2209	4	14
subj_17_kiggif_46_Post	I	205	411	2042	4	13
subj_17_kiggif_AF2_39	I	288	378	1460	4	11
subj_17_kiggif_AF2_40	I	273	537	1702	5	12
subj_17_kiggif_AF2_52	I	251	511	1543	5	11
subj_17_kiggif_MN1_17	I	322	636	1628	6	12
subj_17_kiggif_MN1_21	I	305	594	1516	6	11
subj_17_kiggif_MN1_47	I	290	558	1409	5	11
subj_17_kiggif_Pre_20	I	238	449	2210	5	14
subj_17_kiggif_Pre_47	I	237	451	2144	5	13
subj_17_kiggif_Pre_8	I	232	450	2205	5	14
subj_17_piffif_3_Post	I	231	465	1932	5	13
subj_17_piffif_44_Post	I	231	474	1843	5	12
subj_17_piffif_50_Post	I	215	441	1871	4	12
subj_17_piffif_AF2_22	I	264	469	1331	5	10
subj_17_piffif_AF2_29	I	266	365	1305	4	10
subj_17_piffif_AF2_50	I	246	495	1240	5	10
subj_17_piffif_MN1_1	I	333	659	1636	6	12
subj_17_piffif_MN1_20	I	285	600	1439	6	11
subj_17_piffif_MN1_37	I	310	616	1257	6	10
subj_17_piffif_Pre_19	I	246	485	1840	5	12
subj_17_piffif_Pre_51	I	243	481	1948	5	13
subj_17_piffif_Pre_7	I	239	474	1991	5	13
subj_17_tissif_2_Post	I	245	481	1854	5	12
subj_17_tissif_38_Post	I	207	416	1803	4	12
subj_17_tissif_45_Post	I	228	441	1786	4	12
subj_17_tissif_AF2_15	I	239	481	1478	5	11
subj_17_tissif_AF2_31	I	260	527	1141	5	9
subj_17_tissif_AF2_49	I	247	503	1418	5	11
subj_17_tissif_MN1_34	I	288	539	1428	5	11
subj_17_tissif_MN1_38	I	311	559	1234	5	10
subj_17_tissif_MN1_48	I	306	577	1396	6	11
subj_17_tissif_Pre_14	I	231	451	1853	5	12
subj_17_tissif_Pre_2	I	239	469	1966	5	13
subj_17_tissif_Pre_29	I	231	459	1867	5	12
subj_18_kiggif_10_Post	I	308	327	2639	3	15
subj_18_kiggif_15_Post	I	243	360	2653	4	15
subj_18_kiggif_16_Post	I	263	294	2646	3	15
subj_18_kiggif_AF2_15	I	280	303	2535	3	14
subj_18_kiggif_AF2_36	I	293	316	2567	3	15
subj_18_kiggif_AF2_38	I	308	346	2404	4	14
subj_18_kiggif_MN1_22	I	264	458	2126	5	13
subj_18_kiggif_MN1_45	I	293	562	2406	5	14
subj_18_kiggif_MN1_52	I	342	352	2568	4	15
subj_18_kiggif_Pre_31	I	235	433	2409	4	14
subj_18_kiggif_Pre_51	I	231	363	2594	4	15
subj_18_kiggif_Pre_9	I	236	353	2235	4	14
subj_18_piffif_35_Post	I	301	309	2396	3	14
subj_18_piffif_49_Post	I	321	328	2407	3	14
subj_18_piffif_9_Post	I	231	307	2541	3	15
subj_18_piffif_AF2_1	I	274	276	2456	3	14
subj_18_piffif_AF2_21	I	235	277	2620	3	15
subj_18_piffif_AF2_29	I	264	271	2412	3	14
subj_18_piffif_MN1_12	I	305	307	2420	3	14
subj_18_piffif_MN1_21	I	346	348	2427	4	14
subj_18_piffif_MN1_28	I	288	295	2430	3	14
subj_18_piffif_Pre_23	I	246	290	2416	3	14
subj_18_piffif_Pre_49	I	219	347	2385	4	14
subj_18_piffif_Pre_7	I	234	400	2217	4	14
subj_18_tissif_21_Post	I	255	286	2501	3	14
subj_18_tissif_25_Post	I	266	279	2514	3	14
subj_18_tissif_6_Post	I	336	345	2219	4	14
subj_18_tissif_AF2_23	I	233	297	2574	3	15
subj_18_tissif_AF2_26	I	322	327	2387	3	14
subj_18_tissif_AF2_5	I	303	309	2407	3	14
subj_18_tissif_MN1_13	I	275	556	2064	5	13
subj_18_tissif_MN1_17	I	332	335	2334	3	14
subj_18_tissif_MN1_51	I	357	361	2373	4	14
subj_18_tissif_Pre_33	I	230	325	2353	3	14
subj_18_tissif_Pre_42	I	264	305	2393	3	14
subj_18_tissif_Pre_47	I	233	313	2564	3	15
subj_19_kiggif_19_Post	I	242	457	2355	5	14
subj_19_kiggif_38_Post	I	226	401	2271	4	14
subj_19_kiggif_52_Post	I	211	430	2130	4	13
subj_19_kiggif_AF2_29	I	237	450	1183	5	10
subj_19_kiggif_AF2_6	I	255	494	1517	5	11
subj_19_kiggif_AF2_8	I	239	447	1457	4	11
subj_19_kiggif_MN1_37	I	300	598	1502	6	11
subj_19_kiggif_MN1_7	I	275	550	1642	5	12
subj_19_kiggif_Pre_0	I	231	368	2389	4	14
subj_19_kiggif_Pre_10	I	229	425	2360	4	14
subj_19_kiggif_Pre_8	I	230	423	2426	4	14
subj_19_piffif_17_Post	I	233	430	2080	4	13
subj_19_piffif_36_Post	I	229	434	2044	4	13
subj_19_piffif_8_Post	I	222	427	2102	4	13
subj_19_piffif_AF2_23	I	252	497	1505	5	11
subj_19_piffif_AF2_35	I	234	438	1438	4	11
subj_19_piffif_AF2_41	I	253	498	1479	5	11
subj_19_piffif_MN1_22	I	264	539	1458	5	11
subj_19_piffif_MN1_24	I	268	569	1505	6	11
subj_19_piffif_MN1_43	I	279	582	1369	6	10
subj_19_piffif_Pre_21	I	227	427	2071	4	13
subj_19_piffif_Pre_32	I	223	423	2076	4	13
subj_19_piffif_Pre_6	I	234	429	2170	4	13
subj_19_tissif_1_Post	I	235	453	2121	5	13
subj_19_tissif_31_Post	I	221	423	2017	4	13
subj_19_tissif_6_Post	I	240	470	1988	5	13
subj_19_tissif_AF2_17	I	229	448	1417	5	11
subj_19_tissif_AF2_38	I	254	495	1490	5	11
subj_19_tissif_AF2_52	I	217	439	1498	4	11
subj_19_tissif_MN1_39	I	287	577	1431	6	11
subj_19_tissif_MN1_42	I	283	554	1391	5	11
subj_19_tissif_MN1_50	I	287	570	1532	6	11
subj_19_tissif_Pre_16	I	226	416	2040	4	13
subj_19_tissif_Pre_20	I	227	437	1999	4	13
subj_19_tissif_Pre_52	I	230	430	2035	4	13
subj_1_kiggif_28_Post	I	255	342	2488	4	14
subj_1_kiggif_35_Post	I	266	292	2400	3	14
subj_1_kiggif_48_Post	I	261	390	2344	4	14
subj_1_kiggif_AF2_33	I	266	302	2434	3	14
subj_1_kiggif_AF2_41	I	265	273	2756	3	15
subj_1_kiggif_AF2_42	I	269	271	2685	3	15
subj_1_kiggif_MN1_43	I	289	495	2273	5	14
subj_1_kiggif_MN1_52	I	274	510	2218	5	14
subj_1_kiggif_Pre_17	I	249	468	2436	5	14
subj_1_kiggif_Pre_3	I	256	360	2371	4	14
subj_1_kiggif_Pre_37	I	253	441	2424	4	14
subj_1_piffif_29_Post	I	267	425	2139	4	13
subj_1_piffif_34_Post	I	261	406	2061	4	13
subj_1_piffif_49_Post	I	253	439	1953	4	13
subj_1_piffif_AF2_40	I	261	335	1616	3	11
subj_1_piffif_AF2_5	I	250	403	1979	4	13
subj_1_piffif_AF2_7	I	256	469	1945	5	13
subj_1_piffif_MN1_30	I	283	577	1948	6	13
subj_1_piffif_MN1_38	I	272	545	1995	5	13
subj_1_piffif_MN1_6	I	273	521	1959	5	13
subj_1_piffif_Pre_11	I	252	479	1974	5	13
subj_1_piffif_Pre_25	I	252	476	2039	5	13
subj_1_piffif_Pre_35	I	246	492	1983	5	13
subj_1_tissif_13_Post	I	269	343	2150	4	13
subj_1_tissif_16_Post	I	267	347	2145	4	13
subj_1_tissif_2_Post	I	264	343	2150	4	13
subj_1_tissif_AF2_18	I	268	423	2157	4	13
subj_1_tissif_AF2_19	I	267	457	2105	5	13
subj_1_tissif_AF2_51	I	270	446	2187	4	13
subj_1_tissif_MN1_14	I	295	550	2028	5	13
subj_1_tissif_MN1_35	I	270	549	1948	5	13
subj_1_tissif_MN1_49	I	295	589	2051	6	13
subj_1_tissif_Pre_34	I	250	464	2071	5	13
subj_1_tissif_Pre_9	I	251	486	2049	5	13
subj_20_kiggif_40_Post	I	269	349	2389	4	14
subj_20_kiggif_48_Post	I	257	419	2323	4	14
subj_20_kiggif_8_Post	I	276	346	2324	4	14
subj_20_kiggif_AF2_12	I	259	415	2487	4	14
subj_20_kiggif_AF2_18	I	270	389	2413	4	14
subj_20_kiggif_AF2_42	I	234	459	2418	5	14
subj_20_kiggif_MN1_11	I	274	539	2267	5	14
subj_20_kiggif_MN1_12	I	255	496	2276	5	14
subj_20_kiggif_MN1_38	I	271	515	2358	5	14
subj_20_kiggif_Pre_28	I	243	467	2368	5	14
subj_20_kiggif_Pre_44	I	241	391	2482	4	14
subj_20_kiggif_Pre_7	I	261	348	2549	4	15
subj_20_piffif_33_Post	I	281	387	2233	4	14
subj_20_piffif_34_Post	I	263	456	2160	5	13
subj_20_piffif_35_Post	I	244	487	2213	5	14
subj_20_piffif_AF2_0	I	237	468	2267	5	14
subj_20_piffif_AF2_15	I	256	469	2290	5	14
subj_20_piffif_AF2_17	I	250	491	2250	5	14
subj_20_piffif_MN1_10	I	260	524	2228	5	14
subj_20_piffif_MN1_34	I	249	507	2207	5	14
subj_20_piffif_MN1_4	I	295	586	2261	6	14
subj_20_piffif_Pre_18	I	249	476	2221	5	14
subj_20_piffif_Pre_32	I	245	475	2168	5	13
subj_20_piffif_Pre_5	I	266	459	2192	5	14
subj_20_tissif_24_Post	I	158	379	2089	4	13
subj_20_tissif_3_Post	I	259	471	2258	5	14
subj_20_tissif_47_Post	I	290	376	2249	4	14
subj_20_tissif_AF2_26	I	257	465	2179	5	13
subj_20_tissif_AF2_5	I	249	478	2227	5	14
subj_20_tissif_AF2_53	I	253	495	2209	5	14
subj_20_tissif_MN1_14	I	234	480	2092	5	13
subj_20_tissif_MN1_18	I	251	506	2178	5	13
subj_20_tissif_MN1_50	I	263	525	2124	5	13
subj_20_tissif_Pre_14	I	241	464	2252	5	14
subj_20_tissif_Pre_21	I	250	481	2200	5	14
