fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_12_keggif_16_Post	E	101	470	1620	5	12
subj_12_keggif_19_Post	E	107	447	1682	4	12
subj_12_keggif_26_Post	E	98	496	1675	5	12
subj_12_keggif_AF2_2	E	133	421	1075	4	9
subj_12_keggif_AF2_23	E	114	482	1161	5	9
subj_12_keggif_AF2_29	E	126	433	882	4	8
subj_12_keggif_MN1_34	E	113	492	945	5	8
subj_12_keggif_MN1_4	E	131	572	1193	6	10
subj_12_keggif_MN1_7	E	131	541	1142	5	9
subj_12_keggif_Pre_23	E	100	536	1690	5	12
subj_12_keggif_Pre_26	E	96	458	1701	5	12
subj_12_keggif_Pre_9	E	103	514	1686	5	12
subj_12_peffif_18_Post	E	99	571	1576	6	11
subj_12_peffif_21_Post	E	102	555	1565	5	11
subj_12_peffif_45_Post	E	103	545	1559	5	11
subj_12_peffif_AF2_32	E	115	432	1142	4	9
subj_12_peffif_AF2_40	E	110	416	1139	4	9
subj_12_peffif_AF2_9	E	122	556	1206	5	10
subj_12_peffif_MN1_15	E	120	480	1184	5	10
subj_12_peffif_MN1_22	E	121	322	1077	3	9
subj_12_peffif_MN1_31	E	132	471	1169	5	9
subj_12_peffif_Pre_32	E	102	596	1621	6	12
subj_12_peffif_Pre_33	E	101	561	1639	5	12
subj_12_peffif_Pre_49	E	98	564	1573	5	11
subj_12_tessif_14_Post	E	90	435	1660	4	12
subj_12_tessif_30_Post	E	100	527	1636	5	12
subj_12_tessif_37_Post	E	102	485	1636	5	12
subj_12_tessif_AF2_1	E	139	470	1254	5	10
subj_12_tessif_AF2_12	E	129	575	1296	6	10
subj_12_tessif_AF2_5	E	130	360	1236	4	10
subj_12_tessif_MN1_10	E	118	639	1284	6	10
subj_12_tessif_MN1_30	E	130	532	1246	5	10
subj_12_tessif_MN1_38	E	111	451	1117	5	9
subj_12_tessif_Pre_20	E	97	524	1643	5	12
subj_12_tessif_Pre_30	E	97	491	1617	5	11
subj_12_tessif_Pre_47	E	102	548	1621	5	12
subj_13_keggif_22_Post	E	125	489	1932	5	13
subj_13_keggif_44_Post	E	129	508	1793	5	12
subj_13_keggif_5_Post	E	129	513	1781	5	12
subj_13_keggif_AF2_1	E	143	444	953	4	8
subj_13_keggif_AF2_42	E	139	501	1087	5	9
subj_13_keggif_AF2_8	E	137	350	810	4	7
subj_13_keggif_MN1_15	E	143	558	1059	5	9
subj_13_keggif_MN1_18	E	141	402	981	4	8
subj_13_keggif_MN1_43	E	146	387	991	4	8
subj_13_keggif_Pre_29	E	123	495	1884	5	12
subj_13_keggif_Pre_6	E	125	489	1945	5	13
subj_13_keggif_Pre_9	E	123	482	1781	5	12
subj_13_peffif_25_Post	E	136	421	1725	4	12
subj_13_peffif_43_Post	E	132	494	1734	5	12
subj_13_peffif_46_Post	E	132	484	1739	5	12
subj_13_peffif_AF2_34	E	140	503	1119	5	9
subj_13_peffif_AF2_50	E	141	416	1096	4	9
subj_13_peffif_AF2_51	E	138	506	1217	5	10
subj_13_peffif_MN1_19	E	142	565	1102	6	9
subj_13_peffif_MN1_30	E	142	475	1059	5	9
subj_13_peffif_MN1_41	E	145	559	1131	5	9
subj_13_peffif_Pre_25	E	124	487	1716	5	12
subj_13_peffif_Pre_27	E	122	490	1782	5	12
subj_13_peffif_Pre_51	E	125	490	1749	5	12
subj_13_tessif_21_Post	E	130	486	1774	5	12
subj_13_tessif_37_Post	E	129	500	1754	5	12
subj_13_tessif_40_Post	E	128	479	1762	5	12
subj_13_tessif_AF2_0	E	140	378	1027	4	9
subj_13_tessif_AF2_21	E	137	368	1112	4	9
subj_13_tessif_AF2_22	E	134	455	1163	5	9
subj_13_tessif_MN1_11	E	146	630	1157	6	9
subj_13_tessif_MN1_23	E	140	662	1125	6	9
subj_13_tessif_MN1_33	E	142	567	1162	6	9
subj_13_tessif_Pre_0	E	118	519	1745	5	12
subj_13_tessif_Pre_18	E	123	479	1773	5	12
subj_13_tessif_Pre_39	E	128	485	1723	5	12
subj_29_keggif_26_Post	E	119	593	1974	6	13
subj_29_keggif_29_Post	E	130	488	2047	5	13
subj_29_keggif_3_Post	E	129	606	2147	6	13
subj_29_keggif_AF2_37	E	123	564	1914	5	13
subj_29_keggif_AF2_47	E	123	556	1871	5	12
subj_29_keggif_AF2_51	E	126	532	1945	5	13
subj_29_keggif_MN1_2	E	127	677	1768	6	12
subj_29_keggif_MN1_48	E	144	430	2212	4	14
subj_29_keggif_MN1_51	E	133	641	1695	6	12
subj_29_keggif_Pre_21	E	126	547	2049	5	13
subj_29_keggif_Pre_30	E	125	534	1946	5	13
subj_29_keggif_Pre_44	E	123	544	2096	5	13
subj_29_peffif_11_Post	E	123	646	1737	6	12
subj_29_peffif_17_Post	E	120	604	1800	6	12
subj_29_peffif_27_Post	E	123	587	1709	6	12
subj_29_peffif_AF2_28	E	122	609	1721	6	12
subj_29_peffif_AF2_5	E	123	585	1623	6	12
subj_29_peffif_AF2_50	E	122	633	1739	6	12
subj_29_peffif_MN1_15	E	134	619	1780	6	12
subj_29_peffif_MN1_34	E	137	668	1522	6	11
subj_29_peffif_MN1_47	E	131	495	1627	5	12
subj_29_peffif_Pre_5	E	118	570	1614	6	11
subj_29_peffif_Pre_50	E	117	876	2069	7	13
subj_29_peffif_Pre_8	E	122	580	1647	6	12
subj_29_tessif_19_Post	E	124	577	1839	6	12
subj_29_tessif_46_Post	E	122	594	1736	6	12
subj_29_tessif_53_Post	E	123	579	1804	6	12
subj_29_tessif_AF2_24	E	118	568	1784	6	12
subj_29_tessif_AF2_31	E	120	546	1775	5	12
subj_29_tessif_AF2_42	E	117	595	1766	6	12
subj_29_tessif_MN1_0	E	114	631	1714	6	12
subj_29_tessif_MN1_20	E	135	553	1838	5	12
subj_29_tessif_MN1_31	E	148	590	1803	6	12
subj_29_tessif_Pre_16	E	124	522	1889	5	13
subj_29_tessif_Pre_3	E	118	542	1748	5	12
subj_29_tessif_Pre_51	E	120	526	1863	5	12
subj_2_keggif_26_Post	E	170	548	1859	5	12
subj_2_keggif_41_Post	E	133	556	1743	5	12
subj_2_keggif_AF2_2	E	180	566	1088	6	9
subj_2_keggif_AF2_29	E	175	554	1413	5	11
subj_2_keggif_AF2_32	E	180	899	1515	8	11
subj_2_keggif_MN1_32	E	216	651	1367	6	10
subj_2_keggif_MN1_48	E	221	684	1526	6	11
subj_2_keggif_MN1_5	E	185	615	1275	6	10
subj_2_keggif_Pre_40	E	135	419	1857	4	12
subj_2_keggif_Pre_41	E	131	550	1846	5	12
subj_2_peffif_20_Post	E	138	568	1732	6	12
subj_2_peffif_30_Post	E	154	571	1778	6	12
subj_2_peffif_7_Post	E	142	567	1684	6	12
subj_2_peffif_AF2_12	E	171	514	1216	5	10
subj_2_peffif_AF2_5	E	174	560	1245	5	10
subj_2_peffif_MN1_23	E	203	615	1205	6	10
subj_2_peffif_MN1_7	E	192	732	1348	7	10
subj_2_peffif_MN1_8	E	191	713	1417	7	11
subj_2_peffif_Pre_26	E	133	545	1803	5	12
subj_2_peffif_Pre_44	E	134	545	1769	5	12
subj_2_tessif_0_Post	E	151	614	1793	6	12
subj_2_tessif_1_Post	E	150	590	1777	6	12
subj_2_tessif_6_Post	E	139	457	1653	5	12
subj_2_tessif_AF2_21	E	163	627	1065	6	9
subj_2_tessif_AF2_45	E	181	546	1451	5	11
subj_2_tessif_AF2_47	E	170	584	1441	6	11
subj_2_tessif_MN1_10	E	202	664	1240	6	10
subj_2_tessif_MN1_42	E	217	553	1113	5	9
subj_2_tessif_MN1_52	E	217	633	1500	6	11
subj_2_tessif_Pre_45	E	135	470	1716	5	12
subj_2_tessif_Pre_9	E	122	506	1790	5	12
subj_33_keggif_52_Post	E	122	478	1941	5	13
subj_33_keggif_53_Post	E	122	485	1924	5	13
subj_33_keggif_7_Post	E	117	464	1887	5	13
subj_33_keggif_AF2_44	E	125	480	1570	5	11
subj_33_keggif_AF2_53	E	132	451	1621	5	12
subj_33_keggif_MN1_39	E	151	448	1507	5	11
subj_33_keggif_MN1_45	E	132	512	1589	5	11
subj_33_keggif_MN1_46	E	139	422	1583	4	11
subj_33_keggif_Pre_21	E	143	496	1814	5	12
subj_33_keggif_Pre_28	E	129	451	1911	5	13
subj_33_keggif_Pre_50	E	129	489	1851	5	12
subj_33_peffif_11_Post	E	116	460	1632	5	12
subj_33_peffif_36_Post	E	80	407	1701	4	12
subj_33_peffif_46_Post	E	127	504	1611	5	11
subj_33_peffif_AF2_27	E	142	446	1423	4	11
subj_33_peffif_AF2_40	E	140	423	1439	4	11
subj_33_peffif_AF2_7	E	149	500	1407	5	11
