fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_12_kiggif_10_Post	I	102	353	1955	4	13
subj_12_kiggif_38_Post	I	110	370	1857	4	12
subj_12_kiggif_50_Post	I	101	364	1849	4	12
subj_12_kiggif_AF2_30	I	133	380	873	4	8
subj_12_kiggif_AF2_35	I	118	449	950	5	8
subj_12_kiggif_AF2_49	I	130	341	1039	4	9
subj_12_kiggif_MN1_23	I	132	273	958	3	8
subj_12_kiggif_MN1_32	I	141	432	963	4	8
subj_12_kiggif_MN1_45	I	119	425	748	4	7
subj_12_kiggif_Pre_10	I	115	298	2100	3	13
subj_12_kiggif_Pre_15	I	105	282	2074	3	13
subj_12_kiggif_Pre_34	I	105	385	1991	4	13
subj_12_piffif_22_Post	I	--undefined--	405	1628	4	12
subj_12_piffif_25_Post	I	105	422	1579	4	11
subj_12_piffif_6_Post	I	112	420	1641	4	12
subj_12_piffif_AF2_19	I	137	370	1239	4	10
subj_12_piffif_AF2_26	I	120	373	1277	4	10
subj_12_piffif_AF2_43	I	119	391	1264	4	10
subj_12_piffif_MN1_19	I	119	434	1357	4	10
subj_12_piffif_MN1_27	I	128	452	1223	5	10
subj_12_piffif_MN1_46	I	123	359	1095	4	9
subj_12_piffif_Pre_28	I	103	415	1671	4	12
subj_12_piffif_Pre_48	I	103	422	1677	4	12
subj_12_piffif_Pre_52	I	--undefined--	375	1641	4	12
subj_12_tissif_3_Post	I	105	371	1684	4	12
subj_12_tissif_53_Post	I	97	340	1691	4	12
subj_12_tissif_7_Post	I	103	406	1672	4	12
subj_12_tissif_AF2_13	I	121	406	1419	4	11
subj_12_tissif_AF2_42	I	113	234	1206	2	10
subj_12_tissif_AF2_6	I	130	304	1276	3	10
subj_12_tissif_MN1_29	I	131	340	1141	4	9
subj_12_tissif_MN1_33	I	128	395	1200	4	10
subj_12_tissif_MN1_37	I	--undefined--	242	1150	3	9
subj_12_tissif_Pre_14	I	98	371	1681	4	12
subj_12_tissif_Pre_22	I	100	377	1716	4	12
subj_12_tissif_Pre_27	I	96	378	1695	4	12
subj_13_kiggif_11_Post	I	130	370	2064	4	13
subj_13_kiggif_33_Post	I	131	389	2054	4	13
subj_13_kiggif_7_Post	I	129	426	2007	4	13
subj_13_kiggif_AF2_10	I	137	465	956	5	8
subj_13_kiggif_AF2_33	I	137	378	953	4	8
subj_13_kiggif_AF2_53	I	141	437	978	4	8
subj_13_kiggif_MN1_16	I	149	328	824	3	7
subj_13_kiggif_MN1_50	I	152	299	1028	3	9
subj_13_kiggif_Pre_10	I	130	380	2046	4	13
subj_13_kiggif_Pre_17	I	130	359	2095	4	13
subj_13_kiggif_Pre_40	I	127	406	2101	4	13
subj_13_piffif_14_Post	I	135	373	1984	4	13
subj_13_piffif_1_Post	I	138	396	1876	4	12
subj_13_piffif_38_Post	I	127	412	1990	4	13
subj_13_piffif_AF2_13	I	142	378	1161	4	9
subj_13_piffif_AF2_23	I	139	360	1144	4	9
subj_13_piffif_AF2_49	I	143	359	1146	4	9
subj_13_piffif_MN1_28	I	145	326	1011	3	9
subj_13_piffif_MN1_35	I	147	390	1045	4	9
subj_13_piffif_MN1_4	I	147	395	1088	4	9
subj_13_piffif_Pre_46	I	132	357	1942	4	13
subj_13_piffif_Pre_48	I	125	432	2043	4	13
subj_13_piffif_Pre_52	I	125	423	1945	4	13
subj_13_tissif_13_Post	I	131	366	1954	4	13
subj_13_tissif_23_Post	I	132	369	2013	4	13
subj_13_tissif_45_Post	I	133	364	1993	4	13
subj_13_tissif_AF2_17	I	144	357	992	4	8
subj_13_tissif_AF2_52	I	138	355	1135	4	9
subj_13_tissif_AF2_6	I	135	342	896	4	8
subj_13_tissif_MN1_44	I	143	348	1095	4	9
subj_13_tissif_MN1_49	I	149	474	1108	5	9
subj_13_tissif_MN1_5	I	140	373	1052	4	9
subj_13_tissif_Pre_34	I	128	408	1871	4	12
subj_13_tissif_Pre_37	I	125	449	1903	5	13
subj_13_tissif_Pre_7	I	125	395	1833	4	12
subj_29_kiggif_33_Post	I	127	323	2152	3	13
subj_29_kiggif_42_Post	I	118	350	2401	4	14
subj_29_kiggif_44_Post	I	128	287	2173	3	13
subj_29_kiggif_AF2_0	I	140	390	2285	4	14
subj_29_kiggif_AF2_26	I	120	320	2194	3	14
subj_29_kiggif_AF2_46	I	121	325	2297	3	14
subj_29_kiggif_MN1_12	I	140	433	2217	4	14
subj_29_kiggif_MN1_32	I	140	482	2154	5	13
subj_29_kiggif_MN1_42	I	141	465	2084	5	13
subj_29_kiggif_Pre_15	I	130	284	2352	3	14
subj_29_kiggif_Pre_18	I	130	320	2268	3	14
subj_29_kiggif_Pre_45	I	129	335	2291	3	14
subj_29_piffif_0_Post	I	138	376	1834	4	12
subj_29_piffif_18_Post	I	118	375	1951	4	13
subj_29_piffif_9_Post	I	121	319	2159	3	13
subj_29_piffif_AF2_19	I	123	368	1982	4	13
subj_29_piffif_AF2_27	I	120	382	2400	4	14
subj_29_piffif_AF2_48	I	124	309	1985	3	13
subj_29_piffif_MN1_1	I	139	448	1892	5	13
subj_29_piffif_MN1_21	I	132	354	2052	4	13
subj_29_piffif_MN1_53	I	143	438	2333	4	14
subj_29_piffif_Pre_47	I	127	336	2162	3	13
subj_29_piffif_Pre_52	I	124	311	2028	3	13
subj_29_piffif_Pre_9	I	127	307	2008	3	13
subj_29_tissif_38_Post	I	122	327	2033	3	13
subj_29_tissif_49_Post	I	120	382	2002	4	13
subj_29_tissif_4_Post	I	129	323	2060	3	13
subj_29_tissif_AF2_11	I	124	329	2065	3	13
subj_29_tissif_AF2_36	I	124	336	1829	3	12
subj_29_tissif_AF2_43	I	121	366	2099	4	13
subj_29_tissif_MN1_22	I	138	433	2029	4	13
subj_29_tissif_MN1_38	I	141	447	2118	5	13
subj_29_tissif_MN1_7	I	128	351	1891	4	13
subj_29_tissif_Pre_1	I	122	336	2007	3	13
subj_29_tissif_Pre_10	I	127	307	1911	3	13
subj_29_tissif_Pre_37	I	125	323	2052	3	13
subj_2_kiggif_31_Post	I	167	335	1878	3	12
subj_2_kiggif_33_Post	I	177	351	2117	4	13
subj_2_kiggif_45_Post	I	139	354	1939	4	13
subj_2_kiggif_AF2_17	I	198	410	1468	4	11
subj_2_kiggif_AF2_25	I	131	427	1065	4	9
subj_2_kiggif_AF2_6	I	95	385	1429	4	11
subj_2_kiggif_MN1_17	I	221	472	1529	5	11
subj_2_kiggif_MN1_38	I	234	485	1442	5	11
subj_2_kiggif_MN1_53	I	231	473	1639	5	12
subj_2_kiggif_Pre_11	I	139	375	1952	4	13
subj_2_kiggif_Pre_47	I	136	337	2109	3	13
subj_2_kiggif_Pre_5	I	140	354	1885	4	13
subj_2_piffif_38_Post	I	152	327	1953	3	13
subj_2_piffif_48_Post	I	138	387	1943	4	13
subj_2_piffif_AF2_10	I	87	426	1268	4	10
subj_2_piffif_AF2_33	I	196	414	1261	4	10
subj_2_piffif_AF2_51	I	195	402	1233	4	10
subj_2_piffif_MN1_31	I	218	456	1306	5	10
subj_2_piffif_MN1_33	I	241	486	1322	5	10
subj_2_piffif_MN1_44	I	239	525	1431	5	11
subj_2_piffif_Pre_0	I	145	389	1819	4	12
subj_2_piffif_Pre_10	I	134	377	1881	4	12
subj_2_piffif_Pre_33	I	141	388	1924	4	13
subj_2_tissif_35_Post	I	156	383	1851	4	12
subj_2_tissif_4_Post	I	162	315	1817	3	12
subj_2_tissif_52_Post	I	141	397	1801	4	12
subj_2_tissif_AF2_22	I	232	410	1044	4	9
subj_2_tissif_AF2_31	I	208	426	1349	4	10
subj_2_tissif_AF2_40	I	165	406	1188	4	10
subj_2_tissif_MN1_30	I	237	478	1445	5	11
subj_2_tissif_MN1_39	I	228	467	1358	5	10
subj_2_tissif_MN1_47	I	236	479	1530	5	11
subj_2_tissif_Pre_20	I	134	387	1891	4	13
subj_2_tissif_Pre_31	I	131	477	1996	4	13
subj_2_tissif_Pre_46	I	140	355	1929	4	13
subj_33_kiggif_32_Post	I	119	351	2019	4	13
subj_33_kiggif_39_Post	I	123	345	1979	4	13
subj_33_kiggif_51_Post	I	82	391	1769	4	12
subj_33_kiggif_AF2_17	I	149	383	1581	4	11
subj_33_kiggif_AF2_24	I	143	352	1508	4	11
subj_33_kiggif_AF2_39	I	140	408	1569	4	11
subj_33_kiggif_MN1_0	I	156	365	1675	4	12
subj_33_kiggif_MN1_27	I	142	409	1877	4	12
subj_33_kiggif_MN1_34	I	141	422	1547	4	11
subj_33_kiggif_Pre_1	I	145	341	2030	4	13
subj_33_kiggif_Pre_37	I	145	342	1979	4	13
subj_33_kiggif_Pre_44	I	132	350	1976	4	13
subj_33_piffif_14_Post	I	120	380	1790	4	12
subj_33_piffif_38_Post	I	84	395	1776	4	12
subj_33_piffif_AF2_15	I	148	357	1321	4	10
subj_33_piffif_AF2_26	I	162	409	1310	4	10
subj_33_piffif_AF2_37	I	145	410	1465	4	11
subj_33_piffif_MN1_1	I	159	415	1472	4	11
subj_33_piffif_MN1_25	I	140	415	1526	4	11
subj_33_piffif_MN1_7	I	140	412	1352	4	10
subj_33_piffif_Pre_20	I	144	401	1783	4	12
subj_33_piffif_Pre_23	I	134	375	1844	4	12
subj_33_piffif_Pre_32	I	141	387	1803	4	12
subj_33_tissif_2_Post	I	120	370	1814	4	12
subj_33_tissif_3_Post	I	112	391	1846	4	12
subj_33_tissif_5_Post	I	123	372	1794	4	12
subj_33_tissif_AF2_28	I	141	381	1586	4	11
subj_33_tissif_AF2_41	I	131	380	1781	4	12
subj_33_tissif_AF2_51	I	131	388	1622	4	12
