"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F1Bark","F2Bark","gender","BB","AF","F1erb","F2erb"
"1","subj_10_kiggif_13_Post","10","kiggif","4",13,"I",216,429,2312,4,14,"F","BB","AF",9.32194459722326,23.4459016388806
"2","subj_10_kiggif_17_Post","10","kiggif","4",17,"I",212,424,2305,4,14,"F","BB","AF",9.25001512293795,23.4197608879981
"3","subj_10_kiggif_26_Post","10","kiggif","4",26,"I",223,442,2205,4,14,"F","BB","AF",9.5066036676084,22.971263772621
"4","subj_10_kiggif_AF2_28","10","kiggif","2",28,"I",245,504,1326,5,10,"F","BB","AF",10.3435760370578,18.1270209156021
"5","subj_10_kiggif_AF2_52","10","kiggif","2",52,"I",236,460,953,5,8,"F","BB","AF",9.75684038728237,15.2730650344809
"6","subj_10_kiggif_Pre_20","10","kiggif","1",20,"I",213,409,2309,4,14,"F","BB","AF",9.03111246013539,23.447919437785
"7","subj_10_kiggif_Pre_27","10","kiggif","1",27,"I",207,407,2172,4,13,"F","BB","AF",9.00156530928046,22.8497301424425
"8","subj_10_kiggif_Pre_4","10","kiggif","1",4,"I",223,388,2247,4,14,"F","BB","AF",8.71649722880555,23.1960732962756
"9","subj_10_piffif_31_Post","10","piffif","4",31,"I",222,433,2176,4,13,"F","BB","AF",9.37912254550143,22.8484696758076
"10","subj_10_piffif_50_Post","10","piffif","4",50,"I",212,420,2107,4,13,"F","BB","AF",9.19210158623817,22.5439264788043
"11","subj_10_piffif_5_Post","10","piffif","4",5,"I",223,450,2081,5,13,"F","BB","AF",9.61858623526041,22.4010487001771
"12","subj_10_piffif_AF2_10","10","piffif","2",10,"I",234,379,1099,4,9,"F","BB","AF",8.5786254658551,16.5530462765662
"13","subj_10_piffif_AF2_49","10","piffif","2",49,"I",250,522,1240,5,10,"F","BB","AF",10.5740610688499,17.5113716218039
"14","subj_10_piffif_AF2_6","10","piffif","2",6,"I",225,392,1330,4,10,"F","BB","AF",8.777179293849,18.2369621950019
"15","subj_10_piffif_Pre_30","10","piffif","1",30,"I",211,412,2057,4,13,"F","BB","AF",9.07527254723792,22.3165458847431
"16","subj_10_piffif_Pre_37","10","piffif","1",37,"I",217,416,2340,4,14,"F","BB","AF",9.13385528602651,23.5740772317548
"17","subj_10_piffif_Pre_43","10","piffif","1",43,"I",212,253,2248,3,13,"F","BB","AF",6.42380063090606,23.3009647575805
"18","subj_10_tissif_51_Post","10","tissif","4",51,"I",208,421,2064,4,13,"F","BB","AF",9.20661102475833,22.3428435456744
"19","subj_10_tissif_6_Post","10","tissif","4",6,"I",221,446,2135,4,13,"F","BB","AF",9.56275008965885,22.6532604406882
"20","subj_10_tissif_8_Post","10","tissif","4",8,"I",217,439,2017,4,13,"F","BB","AF",9.46428824372654,22.1063671081292
"21","subj_10_tissif_AF2_21","10","tissif","2",21,"I",231,354,969,4,8,"F","BB","AF",8.18556839192923,15.4919394641796
"22","subj_10_tissif_AF2_23","10","tissif","2",23,"I",236,425,849,4,8,"F","BB","AF",9.26444193777686,14.3406382675874
"23","subj_10_tissif_AF2_51","10","tissif","2",51,"I",234,487,1177,5,9,"F","BB","AF",10.1209223896552,17.0742371905263
"24","subj_10_tissif_Pre_3","10","tissif","1",3,"I",221,393,2153,4,13,"F","BB","AF",8.79229342821943,22.7743329267521
"25","subj_10_tissif_Pre_47","10","tissif","1",47,"I",212,345,2745,4,15,"F","BB","AF",8.04028210393703,25.2142163429845
"26","subj_10_tissif_Pre_7","10","tissif","1",7,"I",221,415,2058,4,13,"F","BB","AF",9.11924128733512,22.3190397985086
"27","subj_11_kiggif_12_Post","11","kiggif","4",12,"I",230,430,2496,4,14,"F","NB","MN",9.33626938884965,24.2021824793475
"28","subj_11_kiggif_41_Post","11","kiggif","4",41,"I",227,427,2476,4,14,"F","NB","MN",9.293234076448,24.1245573513608
"29","subj_11_kiggif_6_Post","11","kiggif","4",6,"I",224,412,2436,4,14,"F","NB","MN",9.07527254723792,23.9742347521223
"30","subj_11_kiggif_MN1_13","11","kiggif","2",13,"I",251,485,2497,5,14,"F","NB","MN",10.0944004193164,24.165575005984
