"subj","word","block","seq"
10,"fassif","AF2",22
10,"fassif","AF2",50
10,"fassif","AF2",8
10,"fassif","MN1",0
10,"fassif","MN1",18
10,"fassif","MN1",50
10,"fassif","Pre",10
10,"fassif","Pre",28
10,"fassif","Pre",38
10,"foelif","Pre",21
10,"foelif","Pre",5
10,"foelif","Pre",9
10,"foellif","AF2",15
10,"foellif","AF2",41
10,"foellif","AF2",45
10,"foellif","MN1",14
10,"foellif","MN1",31
10,"foellif","MN1",37
10,"gorrif","AF2",16
10,"gorrif","AF2",35
10,"gorrif","AF2",40
10,"gorrif","MN1",48
10,"gorrif","MN1",51
10,"gorrif","MN1",8
10,"gorrif","Pre",2
10,"gorrif","Pre",44
10,"gorrif","Pre",52
10,"guutif","AF2",34
10,"guutif","AF2",44
10,"guutif","AF2",9
10,"guutif","MN1",24
10,"guutif","MN1",30
10,"guutif","MN1",53
10,"guutif","Pre",23
10,"guutif","Pre",41
10,"guutif","Pre",49
10,"keggif","AF2",12
10,"keggif","AF2",42
10,"keggif","AF2",48
10,"keggif","MN1",11
10,"keggif","MN1",33
10,"keggif","MN1",6
10,"keggif","Pre",0
10,"keggif","Pre",35
10,"keggif","Pre",45
10,"kielif","AF2",20
10,"kielif","AF2",25
10,"kielif","AF2",30
10,"kielif","MN1",19
10,"kielif","MN1",25
10,"kielif","MN1",39
10,"kielif","Pre",13
10,"kielif","Pre",36
10,"kielif","Pre",48
10,"kiggif","AF2",28
10,"kiggif","AF2",52
10,"kiggif","AF2",53
10,"kiggif","MN1",1
10,"kiggif","MN1",16
10,"kiggif","MN1",3
10,"kiggif","Pre",20
10,"kiggif","Pre",27
10,"kiggif","Pre",4
10,"koepif","MN1",27
10,"koepif","MN1",42
10,"koepif","MN1",49
10,"koepif","Pre",16
10,"koepif","Pre",25
10,"koepif","Pre",29
10,"koeppif","AF2",1
10,"koeppif","AF2",24
10,"koeppif","AF2",27
10,"parrif","AF2",31
10,"parrif","AF2",33
10,"parrif","AF2",37
10,"parrif","MN1",12
10,"parrif","MN1",32
10,"parrif","MN1",45
10,"parrif","Pre",12
10,"parrif","Pre",19
10,"parrif","Pre",50
10,"peffif","AF2",0
10,"peffif","AF2",14
10,"peffif","AF2",5
10,"peffif","MN1",17
10,"peffif","MN1",20
10,"peffif","MN1",21
10,"peffif","Pre",22
10,"peffif","Pre",33
10,"peffif","Pre",42
10,"piffif","AF2",10
10,"piffif","AF2",49
10,"piffif","AF2",6
10,"piffif","MN1",40
10,"piffif","MN1",41
10,"piffif","MN1",47
10,"piffif","Pre",30
10,"piffif","Pre",37
10,"piffif","Pre",43
10,"possif","AF2",18
10,"possif","AF2",32
10,"possif","AF2",47
10,"possif","MN1",10
10,"possif","MN1",2
10,"possif","MN1",52
10,"possif","Pre",26
10,"possif","Pre",40
10,"possif","Pre",53
10,"saakif","AF2",11
10,"saakif","AF2",26
10,"saakif","AF2",46
10,"saakif","MN1",15
10,"saakif","MN1",35
10,"saakif","MN1",4
10,"saakif","Pre",11
10,"saakif","Pre",14
10,"saakif","Pre",32
10,"suutif","AF2",36
10,"suutif","AF2",43
10,"suutif","AF2",7
10,"suutif","MN1",13
10,"suutif","MN1",28
10,"suutif","MN1",44
10,"suutif","Pre",18
10,"suutif","Pre",39
10,"suutif","Pre",6
10,"taapif","AF2",2
10,"taapif","AF2",3
10,"taapif","AF2",39
10,"taapif","MN1",26
10,"taapif","MN1",5
10,"taapif","MN1",7
10,"taapif","Pre",15
10,"taapif","Pre",17
10,"taapif","Pre",31
10,"tessif","AF2",13
10,"tessif","AF2",29
10,"tessif","AF2",38
10,"tessif","MN1",34
10,"tessif","MN1",38
10,"tessif","MN1",46
10,"tessif","Pre",1
10,"tessif","Pre",34
10,"tessif","Pre",8
10,"tiekif","AF2",17
10,"tiekif","AF2",19
10,"tiekif","AF2",4
10,"tiekif","MN1",22
10,"tiekif","MN1",36
10,"tiekif","MN1",9
10,"tiekif","Pre",24
10,"tiekif","Pre",46
10,"tiekif","Pre",51
10,"tissif","AF2",21
10,"tissif","AF2",23
10,"tissif","AF2",51
10,"tissif","MN1",23
10,"tissif","MN1",29
10,"tissif","MN1",43
10,"tissif","Pre",3
10,"tissif","Pre",47
10,"tissif","Pre",7
11,"fassif","AF2",44
11,"fassif","AF2",48
11,"fassif","AF2",51
11,"fassif","MN1",18
11,"fassif","MN1",27
11,"fassif","MN1",44
11,"fassif","Pre",16
11,"fassif","Pre",31
11,"fassif","Pre",38
11,"foelif","Pre",25
11,"foelif","Pre",3
11,"foelif","Pre",8
11,"foellif","AF2",14
11,"foellif","AF2",2
11,"foellif","AF2",38
11,"foellif","MN1",12
11,"foellif","MN1",36
11,"foellif","MN1",40
11,"gorrif","AF2",15
11,"gorrif","AF2",25
11,"gorrif","AF2",35
11,"gorrif","MN1",30
11,"gorrif","MN1",43
11,"gorrif","MN1",5
11,"gorrif","Pre",43
11,"gorrif","Pre",48
11,"gorrif","Pre",51
11,"guutif","AF2",12
11,"guutif","AF2",13
11,"guutif","AF2",21
11,"guutif","MN1",21
11,"guutif","MN1",47
11,"guutif","MN1",52
11,"guutif","Pre",34
11,"guutif","Pre",46
11,"guutif","Pre",9
11,"keggif","AF2",22
11,"keggif","AF2",27
11,"keggif","AF2",37
11,"keggif","MN1",11
11,"keggif","MN1",14
11,"keggif","MN1",37
