"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"1","subj_10_kiggif_13_Post",10,"kiggif","Post","13","I","216",429,2312,2685,3748,4,14,15,17,"F","BB"
"2","subj_10_kiggif_17_Post",10,"kiggif","Post","17","I","212",424,2305,2715,3309,4,14,15,16,"F","BB"
"3","subj_10_kiggif_26_Post",10,"kiggif","Post","26","I","223",442,2205,2673,3668,4,14,15,17,"F","BB"
"4","subj_10_kiggif_AF2_28",10,"kiggif","AF1","28","I","245",504,1326,2480,4137,5,10,14,18,"F","BB"
"5","subj_10_kiggif_AF2_52",10,"kiggif","AF1","52","I","236",460,953,2625,3118,5,8,15,16,"F","BB"
"6","subj_10_kiggif_MN1_1",10,"kiggif","MN2","1","I","278",646,1539,2218,2548,6,11,14,15,"F","BB"
"7","subj_10_kiggif_MN1_16",10,"kiggif","MN2","16","I","270",533,1069,2463,3055,5,9,14,16,"F","BB"
"8","subj_10_kiggif_MN1_3",10,"kiggif","MN2","3","I","271",678,1290,2431,2926,6,10,14,15,"F","BB"
"9","subj_10_kiggif_Pre_20",10,"kiggif","Pre","20","I","213",409,2309,3048,4025,4,14,16,18,"F","BB"
"10","subj_10_kiggif_Pre_27",10,"kiggif","Pre","27","I","207",407,2172,2682,3783,4,13,15,17,"F","BB"
"11","subj_10_kiggif_Pre_4",10,"kiggif","Pre","4","I","223",388,2247,2863,4252,4,14,15,18,"F","BB"
"12","subj_10_piffif_31_Post",10,"piffif","Post","31","I","222",433,2176,2943,3944,4,13,16,18,"F","BB"
"13","subj_10_piffif_50_Post",10,"piffif","Post","50","I","212",420,2107,2768,3442,4,13,15,17,"F","BB"
"14","subj_10_piffif_5_Post",10,"piffif","Post","5","I","223",450,2081,2874,3303,5,13,15,16,"F","BB"
"15","subj_10_piffif_AF2_10",10,"piffif","AF1","10","I","234",379,1099,2678,4066,4,9,15,18,"F","BB"
"16","subj_10_piffif_AF2_49",10,"piffif","AF1","49","I","250",522,1240,2465,2819,5,10,14,15,"F","BB"
"17","subj_10_piffif_AF2_6",10,"piffif","AF1","6","I","225",392,1330,2461,4146,4,10,14,18,"F","BB"
"18","subj_10_piffif_MN1_40",10,"piffif","MN2","40","I","278",296,1142,2618,3294,3,9,15,16,"F","BB"
"19","subj_10_piffif_MN1_47",10,"piffif","MN2","47","I","272",290,1334,2320,3651,3,10,14,17,"F","BB"
"20","subj_10_piffif_Pre_30",10,"piffif","Pre","30","I","211",412,2057,2759,4110,4,13,15,18,"F","BB"
"21","subj_10_piffif_Pre_37",10,"piffif","Pre","37","I","217",416,2340,3041,4225,4,14,16,18,"F","BB"
"22","subj_10_piffif_Pre_43",10,"piffif","Pre","43","I","212",253,2248,3121,4186,3,13,16,18,"F","BB"
"23","subj_10_tissif_51_Post",10,"tissif","Post","51","I","208",421,2064,2757,3972,4,13,15,18,"F","BB"
"24","subj_10_tissif_6_Post",10,"tissif","Post","6","I","221",446,2135,2826,3656,4,13,15,17,"F","BB"
"25","subj_10_tissif_8_Post",10,"tissif","Post","8","I","217",439,2017,2792,3921,4,13,15,17,"F","BB"
"26","subj_10_tissif_AF2_21",10,"tissif","AF1","21","I","231",354,969,2322,3811,4,8,14,17,"F","BB"
"27","subj_10_tissif_AF2_23",10,"tissif","AF1","23","I","236",425,849,2158,3805,4,8,13,17,"F","BB"
